FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.143653.lesc.uc.m.00000002,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,upper tail covert,0,0,0,0,2,,125
UMMZ.143653.lesc.uc.m.00000003,UMMZ,birds,143653,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,upper tail covert,0,0,0,0,3,,126
UMMZ.143659.lesc.ba.f.00000001,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,1,,127
UMMZ.143659.lesc.ba.f.00000002,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,2,,128
UMMZ.143659.lesc.ba.f.00000003,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,3,,129
UMMZ.143659.lesc.ch.f.00000001,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,1,,130
UMMZ.143659.lesc.ch.f.00000002,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,2,,131
UMMZ.143659.lesc.ch.f.00000003,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,3,,132
UMMZ.143659.lesc.cn.f.00000001,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat,0,0,0,0,1,,133
UMMZ.143659.lesc.cn.f.00000002,UMMZ,birds,143659,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat,0,0,0,0,2,,134
